offer_id,date,date_iso,price,price_clean,change,change_clean,is_increase
292507169,13 сен 2023,2023-09-13 00:00:00,77 000 ₽/мес.,77000,,,False
290179716,26 мар 2025,2025-03-26 00:00:00,69 000 ₽/мес.,69000,1 000 ₽,-1000,False
290179716,14 ноя 2024,2024-11-14 00:00:00,70 000 ₽/мес.,70000,4 000 ₽,+4000,True
290179716,29 сен 2024,2024-09-29 00:00:00,66 000 ₽/мес.,66000,1 000 ₽,-1000,False
290179716,27 сен 2024,2024-09-27 00:00:00,67 000 ₽/мес.,67000,1 000 ₽,+1000,True
290179716,23 сен 2024,2024-09-23 00:00:00,66 000 ₽/мес.,66000,1 000 ₽,-1000,False
290179716,16 сен 2024,2024-09-16 00:00:00,67 000 ₽/мес.,67000,1 000 ₽,+1000,True
290179716,9 сен 2024,2024-09-09 00:00:00,66 000 ₽/мес.,66000,1 000 ₽,+1000,True
290179716,4 сен 2024,2024-09-04 00:00:00,65 000 ₽/мес.,65000,1 000 ₽,-1000,False
290179716,2 сен 2024,2024-09-02 00:00:00,66 000 ₽/мес.,66000,1 000 ₽,+1000,True
290179716,26 авг 2024,2024-08-26 00:00:00,65 000 ₽/мес.,65000,5 000 ₽,+5000,True
290179716,19 авг 2024,2024-08-19 00:00:00,60 000 ₽/мес.,60000,1 000 ₽,+1000,True
290179716,18 авг 2024,2024-08-18 00:00:00,59 000 ₽/мес.,59000,4 000 ₽,-4000,False
